"corpus","match_position","left context","match","right_context","text_url","thread_title","thread_postcount","text_date","text_username","thread_lastpost","forum_url","forum_title","thread_url"
"Flashback: Dator & IT","2081964","Där kan man direkt få prata med personer samt det går och få kontakt via mejl , är det problem i beställningen så brukar de","mejla","direkt och berätta personligen .","https://www.flashback.org/p11309850#p11309850","Ska köpa ny dator.","4","2008-05-20 22:19","gosh","2008-05-20 22:19","https://www.flashback.org/f132","Dator och IT > Hårdvara: PC","https://www.flashback.org/t678634"
"Flashback: Dator & IT","2991277","haha klart ja har .. 2.1.2 server hade inga sånna här begränsningar alls .. vad jag läst mig till .. det var i 2.2 eller 2.3 de införde dom .. att släppa fullversioner är ju mer dåtid .. de har dom inte råd med nuförtiden .. det är också lättare å bara","mejla","ut licenser typ ..","https://www.flashback.org/p6608695#p6608695","Ventrilo-crack","165","2007-03-18 01:10","OnY","2008-03-21 10:16","https://www.flashback.org/f205","Dator och IT > Systemutveckling > C, C++ och assembler","https://www.flashback.org/t443355"
"Flashback: Dator & IT","4802842","","mejla","dom o fråga var koden e då","https://www.flashback.org/p23530601#p23530601","Spotify Premium ingår i mitt Halebop. Hur får jag igång den?","9","2010-06-05 23:26","Necropolis","2010-06-06 07:05","https://www.flashback.org/f348","Dator och IT > Telefoni och mobiltelefoner > Telefoni: felsökning och problem","https://www.flashback.org/t1213364"
"Flashback: Dator & IT","4925482","i så fall får du gärna","mejla","den till mig eller så om du har lust","https://www.flashback.org/p663418#p663418","crack/keygen till The Cleaner 4","8","2003-12-18 17:53","X_surfer","2003-12-18 22:42","https://www.flashback.org/f17","Dator och IT > Fildelning","https://www.flashback.org/t98967"
"Flashback: Dator & IT","6746868","Är det säkrare att","mejla","var och en för sig ?","https://www.flashback.org/p35410707#p35410707","Jag vill skicka ett massmejl utan att det fastnar i SPAM-filter","4","2012-01-30 17:55","C.Kent","2012-01-30 18:47","https://www.flashback.org/f134","Dator och IT > Övriga dator- och IT-diskussioner","https://www.flashback.org/t1783125"
"Flashback: Dator & IT","9122816","Databaskonto måste man","mejla","supporten om efter att man fått sitt konto aktiverat , deras anslutning känns sirapsseg , och idag upptäckte jag att min kunds sida inte är nåbar - utan någon som helst information från deras sida .","https://www.flashback.org/p2390835#p2390835","Länksamling: Webbhotell","334","2005-06-18 22:28","no1atall","2009-09-23 15:29","https://www.flashback.org/f208","Dator och IT > Systemutveckling > Webbutveckling och javascript","https://www.flashback.org/t90018"
"Flashback: Dator & IT","10972071","På EB-games sade de att jag skulle","mejla","till steam och har gjort detta men allt som har hänt är att jag fått nya koder till mitt acount varje gång istället och fattar inte varför det är så","https://www.flashback.org/p6596980#p6596980","Counter-Strike & Steam | Support- och infofrågor","5439","2007-03-16 18:52","teddybears","2016-06-23 06:54","https://www.flashback.org/f245","Dator och IT > Dator- och konsolspel > Spel: allmänt","https://www.flashback.org/t404728"
"Flashback: Dator & IT","11461069","Du kan få låna av mig annars nu ,","mejla","bronsspelare nation , liga så köper jag han , länka i PM","https://www.flashback.org/p41869079#p41869079","FIFA 13 Ultimate Team","84863","2013-02-05 20:31","MIBR","2015-03-30 21:02","https://www.flashback.org/f245","Dator och IT > Dator- och konsolspel > Spel: allmänt","https://www.flashback.org/t1872099"
"Flashback: Dator & IT","12138474","Be dem","mejla","kvittot istället men ja det ska inte vara några problem med simkortet .","https://www.flashback.org/p45854918#p45854918","Importera iPhone 5s (USA)","27","2013-10-26 22:01","sven33","2013-11-17 13:32","https://www.flashback.org/f347","Dator och IT > Telefoni och mobiltelefoner > Telefoni: köpråd","https://www.flashback.org/t2228726"
"Flashback: Dator & IT","15112885","Annars ,","mejla","och förklara ditt ärende .","https://www.flashback.org/p41331025#p41331025","FIFA 13 Ultimate Team","84863","2013-01-07 15:24","PinkVelour","2015-03-30 21:02","https://www.flashback.org/f245","Dator och IT > Dator- och konsolspel > Spel: allmänt","https://www.flashback.org/t1872099"
